Source,Target,Type,Id,Label,Weight
CHEK2,DUSP15,Undirected,92247,,1
CHEK2,PPP1CC,Undirected,92248,,1
CHEK2,HNRNPA1,Undirected,92249,,1
CHEK2,LIN54,Undirected,92250,,1
CHEK2,TP53BP2,Undirected,92251,,1
CHEK2,DYRK2,Undirected,92252,,1
CHEK2,ANKRD55,Undirected,92253,,1
CHEK2,BAZ1B,Undirected,92255,,1
CHEK2,PPM1G,Undirected,92256,,1
CHEK2,DUSP21,Undirected,92259,,1
CHEK2,BRE,Undirected,92260,,1
CHEK2,USP1,Undirected,92261,,1
CHEK2,USP7,Undirected,92262,,1
CHEK2,ATR,Undirected,92264,,1
CHEK2,CORO2A,Undirected,92265,,1
CHEK2,PEAR1,Undirected,92271,,1
CHEK2,ARID1B,Undirected,92273,,1
CHEK2,PTMA,Undirected,92274,,1
CHEK2,CORO6,Undirected,92275,,1
CHEK2,CCNG1,Undirected,92276,,1
CHEK2,NF2,Undirected,92277,,1
CHEK2,TOX2,Undirected,92278,,1
CHEK2,GFI1B,Undirected,92280,,1
CHEK2,MAP2K3,Undirected,92282,,1
CHEK2,CASKIN1,Undirected,92284,,1
CHEK2,E2F1,Undirected,92287,,1
CHEK2,NFYA,Undirected,92288,,1
CHEK2,DUSP9,Undirected,92289,,1
CHEK2,PRKAA1,Undirected,92290,,1
CHEK2,DUSP19,Undirected,92291,,1
CHEK2,PPTC7,Undirected,92293,,1
CHEK2,MAK,Undirected,92297,,1
CHEK2,STYX,Undirected,92299,,1
CHEK2,FYN,Undirected,92301,,1
CHEK2,NET1,Undirected,92305,,1
CHEK2,ITSN2,Undirected,92309,,1
CHEK2,AP3D1,Undirected,92310,,1
CHEK2,PDE4C,Undirected,92312,,1
CHEK2,OPHN1,Undirected,92313,,1
CHEK2,ANKRD35,Undirected,92314,,1
CHEK2,RET,Undirected,92316,,1
CHEK2,OR2T6,Undirected,92317,,1
CHEK2,ERCC5,Undirected,92318,,1
CHEK2,UBE2I,Undirected,92322,,1
CHEK2,ZNF770,Undirected,92327,,1
CHEK2,ARHGEF26,Undirected,92328,,1
CHEK2,MEGF6,Undirected,92331,,1
CHEK2,CNNM1,Undirected,92334,,1
CHEK2,PIWIL2,Undirected,92335,,1
CHEK2,ICK,Undirected,92339,,1
CHEK2,CALM1,Undirected,92340,,1
CHEK2,RASSF1,Undirected,92342,,1
CHEK2,ANK2,Undirected,92344,,1
CHEK2,ANKRD7,Undirected,92346,,1
CHEK2,GM2A,Undirected,92348,,1
CHEK2,MAP1LC3C,Undirected,92350,,1
CHEK2,ANKRD20A4,Undirected,92352,,1
CHEK2,ANAPC11,Undirected,92353,,1
CHEK2,SMC1B,Undirected,92356,,1
CHEK2,ASB13,Undirected,92359,,1
CHEK2,RFX4,Undirected,92362,,1
CHEK2,RAD23B,Undirected,92363,,1
CHEK2,NF1,Undirected,92364,,1
CHEK2,RAD52,Undirected,92368,,1
CHEK2,ANKRD17,Undirected,92369,,1
CHEK2,PASK,Undirected,92371,,1
CHEK2,VCP,Undirected,92375,,1
CHEK2,ANKRD30B,Undirected,92376,,1
CHEK2,SMARCAD1,Undirected,92378,,1
CHEK2,PIK3CG,Undirected,92380,,1
CHEK2,MAPK10,Undirected,92381,,1
CHEK2,HIST1H3J,Undirected,92383,,1
CHEK2,XRCC2,Undirected,92385,,1
CHEK2,KLHDC1,Undirected,92386,,1
CHEK2,MYO1C,Undirected,92393,,1
CHEK2,TRRAP,Undirected,92394,,1
CHEK2,DMBX1,Undirected,92396,,1
CHEK2,ARL9,Undirected,92397,,1
CHEK2,RTEL1,Undirected,92398,,1
CHEK2,BAZ1A,Undirected,92400,,1
CHEK2,ANKS1A,Undirected,92401,,1
CHEK2,CDC16,Undirected,92402,,1
CHEK2,CCDC144A,Undirected,92404,,1
CHEK2,TOPORS,Undirected,92405,,1
CHEK2,ANKRD53,Undirected,92408,,1
CHEK2,PIM3,Undirected,92409,,1
